type_shoes,price,adress,image_link
Chaussures,20000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041561_uploaded_image1_1731494431.jpg
Chaussures,17000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046356_uploaded_image1_1731708939.jpg
Tapettes,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019757_uploaded_image1_1730385238.jpg
Tapettes,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019761_uploaded_image1_1730385361.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019768_uploaded_image1_1730385463.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019772_uploaded_image1_1730385618.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019728_uploaded_image1_1730384069.jpg
Des,15000,"Cotonou, Bénin",https://images.coinafrique.com/thumb_5064063_uploaded_image1_1732706598.jpg
All,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5063140_uploaded_image1_1732650003.jpg
Baskets,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044140_uploaded_image1_1731603197.63.jpeg
Baskets,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044136_uploaded_image1_1731603106.55.jpeg
Baskets,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044134_uploaded_image1_1731602992.91.jpeg
Baskets,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5044131_uploaded_image1_1731602908.43.jpeg
Mocassins,Prixsurdemande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038508_uploaded_image1_1731341353.03.jpeg
Chaussures,25000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5034128_uploaded_image1_1731082208.jpg
Mocassins,Prixsurdemande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038512_uploaded_image1_1731341491.7.jpeg
Chaussures,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053446_uploaded_image1_1732115969.49.jpeg
Chaussures,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053439_uploaded_image1_1732115840.78.jpeg
Chaussures,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053444_uploaded_image1_1732115901.98.jpeg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5062606_uploaded_image1_1732629876.jpg
Chaussures,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017620_uploaded_image1_1730275469.jpg
Chaussures,11000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017615_uploaded_image1_1730275370.jpg
Chaussures,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017612_uploaded_image1_1730275246.jpg
