type_shoes,price,address,image_link-src
Chaussures Wallabies,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773175_uploaded_image1_1717197574.jpg
Chaussures Wallabies,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773175_uploaded_image1_1717197574.jpg
Chaussures Wallabes,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773175_uploaded_image1_1717197574.jpg
Baskets Nike 270,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326616_uploaded_image1_1592826415.jpg
Baskets Nike 270,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326616_uploaded_image1_1592826415.jpg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Baskets Asics,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2344383_uploaded_image1_1593082796.jpg
Baskets Nike AF,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2346070_uploaded_image1_1593101224.jpg
Baskets Jordan One,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3329787_uploaded_image1_1631382394.jpg
Baskets Jordan,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4203569_uploaded_image1_1683283931.jpg
Baskets Nike AF 1,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2344359_uploaded_image1_1593082655.jpg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures homme,,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4113561_uploaded_image1_1677623850.jpg
Baskets Nike  AF 1,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2344359_uploaded_image1_1593082655.jpg
Baskets Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Chaussures homme,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4986975_uploaded_image1_1728568504.jpg
Baskets,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Sandales Gucci,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3425941_uploaded_image1_1636293786.jpg
Baskets homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
