type_clothes,price,adress,image_link
Blouson,8000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg
Blouson,8000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg
Blouson,8000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg
Blouson,8000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg
Blouson,5000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg
Blouson,8000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg
Blouson,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg
Ensemble,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg
Blouson,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Maillots,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg
Robe,12000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5052757_uploaded_image1_1732092639.jpg
Robe,12000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026420_uploaded_image1_1730731217.jpg
Pantalon,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg
Lot,11000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg
Ensemble,28000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
Costume,28000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Vêtements,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg
Ensemble,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg
Robes,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002636_uploaded_image1_1729418520.jpg
Ensemble,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg
Jeans,Prixsurdemande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4991997_uploaded_image1_1728856374.jpg
Pantalon,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg
Vetement,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931868_uploaded_image1_1725656850.jpg
Veste,12000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg
Veste,14000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg
Peignoirs,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4866825_uploaded_image1_1722295875.jpg
Robe,12000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg
Serviette,4000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg
Grenouillère,1500,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg
Body,750,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg
Robe,4500,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg
Robe,22800,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg
Vêtements,2500,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg
Ensemble,4500,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg
