type_clothes,price,address,image_link-src
Ensemble costume enfant,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Ensemble pour enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Tenue enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Tenue pour enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Tenue Enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Tenues enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Costume enfant,20 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_752448_uploaded_image1_1563350256.56.png
Robe pour enfant,35 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3601827_uploaded_image1_1646873978.jpg
Blouson enfant,18 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg
Costume enfant,20 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png
Robe brodée enfant,12 000 CFA,Sénégal,https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg
Robe enfant,10 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg
Ensemble fille,8 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1468335_uploaded_image1_1578834783.45.png
Robe avec sacoche,10 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1174277_uploaded_image1_1573245424.6.png
Vêtements enfants,Prix sur demande,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Djellaba Enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_765640_uploaded_image1_1563665850.78.png
Djellaba Enfant,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_765637_uploaded_image1_1563665776.21.png
Vêtements enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Costume Enfant,20 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_766149_uploaded_image1_1563699401.63.png
Costume enfant,20 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_766149_uploaded_image1_1563699401.63.png
Robes,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2772903_uploaded_image1_1605786106.jpg
Robes enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png
Tee-shirt,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2735012_uploaded_image1_1604415011.jpg
Vêtement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Habillement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
Robes pour enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png
Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Robe enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png
Robe enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Vêtement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Robe,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg
Robe petite fille,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785563_uploaded_image1_1657883218.jpg
Vêtements pour enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Vêtements enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
Robe fillette,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1373672_uploaded_image1_1576952145.0.png
Ensemble pour enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Tenue enfant,18 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Costume Enfant,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
