type_clothes,price,adress,image_link
Blouson,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046290_uploaded_image1_1731706762.jpg
Vétement,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040487_uploaded_image1_1731432680.jpg
Vetements,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Slip,1100,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035627_uploaded_image1_1731171841.jpg
Pull,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040404_uploaded_image1_1731430024.jpg
Madras,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5059323_uploaded_image1_1732454589.jpg
Vêtements,Prixsurdemande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5063976_uploaded_image1_1732703634.jpg
Chemise,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054605_uploaded_image1_1732183413.jpg
Chemise,8500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054595_uploaded_image1_1732183262.jpg
Chemise,9000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054589_uploaded_image1_1732183096.jpg
Lacoste,8500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054125_uploaded_image1_1732145023.jpg
vêtements,7500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5034681_uploaded_image1_1731106425.jpg
vêtements,15000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5034670_uploaded_image1_1731105582.jpg
Ensemble,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028887_uploaded_image1_1730844645.jpg
Pull,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028884_uploaded_image1_1730844568.jpg
Ensemble,13500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048722_uploaded_image1_1731877991.jpg
Ensemble,22500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048700_uploaded_image1_1731877499.jpg
Ensemble,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5062891_uploaded_image1_1732640129.jpg
T-shirts,6000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg
Chemise,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053060_uploaded_image1_1732104559.jpg
Chemise,9000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5053062_uploaded_image1_1732104635.jpg
Chemise,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5052780_uploaded_image1_1732093902.jpg
Vetement,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017673_uploaded_image1_1730277083.jpg
Vètments,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017669_uploaded_image1_1730276939.jpg
Blouson,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017658_uploaded_image1_1730276517.jpg
Vètments,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017674_uploaded_image1_1730277173.jpg
Ensemble,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017680_uploaded_image1_1730277354.jpg
Vetement,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017651_uploaded_image1_1730276328.jpg
Ensemble,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017649_uploaded_image1_1730276172.jpg
Ensemble,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017643_uploaded_image1_1730276074.jpg
Ensemble,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047569_uploaded_image1_1731788362.jpg
Vêtements,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047553_uploaded_image1_1731787389.jpg
Pantalon,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042083_uploaded_image1_1731512018.58.jpeg
Pantalon,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042023_uploaded_image1_1731511025.03.jpeg
Chemise,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
Chemise,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060984_uploaded_image1_1732548890.59.jpeg
Costume,75000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042008_uploaded_image1_1731510699.91.jpeg
Pantalon,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042017_uploaded_image1_1731510886.69.jpeg
Pantalon,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042020_uploaded_image1_1731510968.09.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042013_uploaded_image1_1731510770.07.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042015_uploaded_image1_1731510832.16.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042000_uploaded_image1_1731510514.82.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041995_uploaded_image1_1731510421.67.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042004_uploaded_image1_1731510576.28.jpeg
Costume,Prixsurdemande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042005_uploaded_image1_1731510642.03.jpeg
Vestments,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5021532_uploaded_image1_1730468069.jpg
T-shirts,7000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060047_uploaded_image1_1732494172.jpg
T-shirts,7000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060043_uploaded_image2_1732493842.jpeg
Polo,10000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5059345_uploaded_image1_1732456648.jpg
Veste,15000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017930_uploaded_image1_1730288595.jpg
