type_clothes,price,address,image_link-src
Tenu africaine,20 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg
Tenue africaine,20 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg
Tenu africaine homme,30 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg
Vêtement homme,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Caleçons de marque,5 000 CFA,"Sicap-Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_1811755_uploaded_image1_1584526039.84.png
Tenue africaine,45 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg
Vêtements homme,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Maillots,5 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4644877_uploaded_image1_1710596251.jpg
Vêtements homme,11 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtement homme,40 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtement homme,50 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtement homme,10 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtement homme,Prix sur demande,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,12 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,8 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Débardeur,1 500 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853568_uploaded_image1_1721561857.jpg
Vêtements homme,6 500 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Ensemble  complet,15 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3260796_uploaded_image1_1628026396.jpg
Vêtement homme,45 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Boubou africain homme,35 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2146039_uploaded_image1_1589988654.jpg
Chemise décontractée,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2151936_uploaded_image1_1590074054.jpg
Chemise,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
Chemise homme,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
Chemises,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
Dialabé homme,7 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4095077_uploaded_image1_1676403786.jpg
Vêtement homme,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Ensemble homme,9 000 CFA,Sénégal,https://images.coinafrique.com/thumb_5028887_uploaded_image1_1730844645.jpg
T-shirt en coton,2 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3847524_uploaded_image1_1661507232.jpg
T-shirt,4 000 CFA,Sénégal,https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg
Tee-shirt coton,1 500 CFA,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3558228_uploaded_image1_1644268644.jpg
Pantalon kaki,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
