type_shoes,price,address,image_link-src
Chaussures enfant,,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
Claquettes  enfants,,Sénégal,https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
Chaussures enfant,,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,Sénégal,https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfants,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures mocassins enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Chaussures enfant,,"Petit-Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Talons fillette,,Sénégal,https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png
Chaussures talons fillette,,Sénégal,https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures Enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Mocassins Enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Chaussures enfant,,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Ensemble talon,,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png
Chaussures enfant,,Sénégal,https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures pour enfant,,Sénégal,https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Chaussures enfants,,Sénégal,https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures Baskets,,Sénégal,https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg
Claquettes enfant,,Sénégal,https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
Chaussures enfants,,Sénégal,https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures Enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Baskets,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg
Chaussures pour enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures  enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
chaussures  enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures   enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfants Zara,,Sénégal,https://images.coinafrique.com/thumb_905654_uploaded_image1_1567532748.81.png
Chaussures enfant,,Sénégal,https://images.coinafrique.com/thumb_919324_uploaded_image1_1567854655.1.png
Baskets Lacoste - enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_919329_uploaded_image1_1567854794.2.png
Chaussures et sacs - enfants,,"Saly, Sénégal",https://images.coinafrique.com/thumb_947507_uploaded_image1_1568567749.69.png
Chaussures enfants,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures de qualité,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures originales,,"Patte d'Oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures petit  garçon,,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989555_uploaded_image1_1569454732.88.png
Chaussures petite fille,,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989571_uploaded_image1_1569455169.87.png
Chaussures filles,,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989597_uploaded_image1_1569455797.26.png
Chaussures garçons,,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989602_uploaded_image1_1569455878.5.png
Chaussures,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures pour enfant,,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
Chaussures pour enfant,,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
Mocassins enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg
Chaussures enfant,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3128593_uploaded_image1_1621701550.jpg
Mocassins Enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Chaussures - enfant,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures Enfants,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfants,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfants,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg
