web-scraper-order,web-scraper-start-url,chaussures_enfants,chaussures_enfants-href,type_shoes,price,address,image_link-src
"1732738162-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1732738168-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1732738174-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Claquettes  enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661","Claquettes  enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1732738181-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738187-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738194-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738200-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099","Chaussures enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738207-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468","Chaussures enfant","4 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738213-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879","Chaussures enfant","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738220-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881","Chaussures enfants","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738226-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfants","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883","Chaussures enfants","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738233-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures mocassins enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-mocassins-enfant-797188","Chaussures mocassins enfant","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg"
"1732738239-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799181","Chaussures enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738246-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799556","Chaussures enfant","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg"
"1732738252-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Talons fillette","https://sn.coinafrique.com/annonce/chaussures-enfants/talons-fillette-801320","Talons fillette","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png"
"1732738259-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures talons fillette","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-talons-fillette-801329","Chaussures talons fillette","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png"
"1732738265-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Talons rasés","https://sn.coinafrique.com/annonce/chaussures-enfants/talons-rases-801336","Talons rasés","Prix sur demande","Sénégal",""
