web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707440-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-723992","Ensemble costume enfant","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1732707446-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-724000","Ensemble costume enfant","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1732707452-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-724043","Ensemble pour enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1732707459-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724047","Tenue enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707465-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724052","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707472-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724054","Tenue enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707478-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue Enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724057","Tenue Enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707484-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenues enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724060","Tenues enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707491-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenues enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072","Tenues enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707497-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
