web-scraper-order,web-scraper-start-url,vetements_hommes,vetements_hommes-href,type_clothes,price,address,image_link-src
"1732745374-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenu africaine","https://sn.coinafrique.com/annonce/vetements-homme/tenu-africaine-2094129","Tenu africaine","20 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg"
"1732745381-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine","https://sn.coinafrique.com/annonce/vetements-homme/tenue-africaine-2094133","Tenue africaine","20 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg"
"1732745387-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenu africaine","https://sn.coinafrique.com/annonce/vetements-homme/tenu-africaine-2094137","Tenu africaine","20 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg"
"1732745394-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenu africaine homme","https://sn.coinafrique.com/annonce/vetements-homme/tenu-africaine-homme-2094140","Tenu africaine homme","30 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg"
"1732745401-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-2094560","T-shirt","5 900 CFA","Sicap-Liberté, Dakar, Sénégal",""
"1732745407-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pack 5 tee-shirt homme","https://sn.coinafrique.com/annonce/vetements-homme/pack-5-tee-shirt-homme-2096308","Pack 5 tee-shirt homme","8 500 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1732745414-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-2096615","Vêtement homme","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg"
"1732745421-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Habits","https://sn.coinafrique.com/annonce/vetements-homme/habits-2096880","Habits","10 000 CFA","Dakar-Plateau, Dakar, Sénégal",""
"1732745427-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Caleçons de marque","https://sn.coinafrique.com/annonce/vetements-homme/calecons-de-marque-2097073","Caleçons de marque","5 000 CFA","Sicap-Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1811755_uploaded_image1_1584526039.84.png"
"1732745434-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jalabei","https://sn.coinafrique.com/annonce/vetements-homme/jalabei-2097454","Jalabei","9 000 CFA","Rufisque, Sénégal",""
"1732745441-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble t-shirt et pantalon","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-t-shirt-et-pantalon-2097487","Ensemble t-shirt et pantalon","12 000 CFA","Dakar, Sénégal",""
"1732745447-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensembles","https://sn.coinafrique.com/annonce/vetements-homme/ensembles-2097489","Ensembles","12 000 CFA","Dakar, Sénégal",""
"1732745454-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2097974","Ensemble homme","11 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745461-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2097984","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745467-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2097987","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745474-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2097992","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745481-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2097996","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745487-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2098000","Ensemble homme","14 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745494-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2098003","Ensemble homme","14 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745501-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2098012","Ensemble homme","14 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745507-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2098017","Ensemble homme","14 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745514-22","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jogging homme","https://sn.coinafrique.com/annonce/vetements-homme/jogging-homme-2100263","Jogging homme","8 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1732745520-23","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Caleçons","https://sn.coinafrique.com/annonce/vetements-homme/calecons-2100355","Caleçons","Prix sur demande","Dakar, Sénégal",""
"1732745527-24","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jogging  homme","https://sn.coinafrique.com/annonce/vetements-homme/jogging-homme-2100725","Jogging  homme","8 000 CFA","Dakar, Sénégal",""
"1732745533-25","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jogging homme","https://sn.coinafrique.com/annonce/vetements-homme/jogging-homme-2100734","Jogging homme","8 000 CFA","Dakar, Sénégal",""
"1732745540-26","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine","https://sn.coinafrique.com/annonce/vetements-homme/tenue-africaine-2102435","Tenue africaine","45 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287544_uploaded_image1_1688915348.jpg"
"1732745547-27","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenues africaines sur mesure","https://sn.coinafrique.com/annonce/vetements-homme/tenues-africaines-sur-mesure-2102441","Tenues africaines sur mesure","45 000 CFA","Fann, Dakar, Sénégal",""
"1732745553-28","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tenue africaine sur mesure","https://sn.coinafrique.com/annonce/vetements-homme/tenue-africaine-sur-mesure-2102444","Tenue africaine sur mesure","45 000 CFA","Fann, Dakar, Sénégal",""
"1732745560-29","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2103126","Ensemble homme","12 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745566-30","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble pantalons et chemises","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pantalons-et-chemises-2103130","Ensemble pantalons et chemises","12 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1732745573-31","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2103133","Ensemble homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal",""
